201-300,University of Nottingham,undefined,78.0
201-300,University of Oviedo,undefined,90.5
201-300,University of Portsmouth,undefined,100.0
201-300,University of Rennes 1,undefined,100.0
201-300,University of Salerno,undefined,100.0
201-300,University of Santiago Compostela,undefined,78.7
201-300,University of Siegen,undefined,91.2
201-300,University of Split,undefined,84.8
201-300,University of St Andrews,undefined,75.7
201-300,University of Strathclyde,undefined,89.8
201-300,University of the Balearic Islands,undefined,100.0
201-300,University of the Basque Country,undefined,64.2
201-300,University of the Witwatersrand,undefined,82.5
201-300,University of Tsukuba,undefined,68.6
201-300,University of Udine,undefined,90.6
201-300,University of Victoria,undefined,87.2
201-300,University of Wisconsin-Milwaukee,undefined,100.0
201-300,University of Wuppertal,undefined,88.2
201-300,Vanderbilt University,undefined,81.9
201-300,Vrije Universiteit Brussel (VUB),undefined,80.2
201-300,West Virginia University,undefined,100.0
201-300,Wuhan University,undefined,66.9
301-400,Adiyaman University,undefined,86.6
301-400,Ankara University,undefined,76.7
301-400,Baylor University,undefined,79.0
301-400,Benemerita Universidad Autonoma de Puebla,undefined,74.0
301-400,Brandenburg University of Technology,undefined,80.0
301-400,British University in Egypt,undefined,83.7
301-400,Brunel University,undefined,80.6
301-400,Cag University,undefined,96.4
301-400,California State University Fresno,undefined,91.7
301-400,Chalmers University of Technology,undefined,66.9
301-400,Colorado State University,undefined,96.9
301-400,Comenius University in Bratislava,undefined,78.1
301-400,Complutense University of Madrid,undefined,68.5
301-400,Cukurova University,undefined,82.2
301-400,Delft University of Technology,undefined,66.3
301-400,Drexel University,undefined,100.0
301-400,Ecole Normale Superieure - Lyon,undefined,73.4
301-400,Florida Institute of Technology,undefined,80.9
301-400,Florida International University,undefined,80.9
301-400,Gaziantep University,undefined,90.9
301-400,Gaziosmanpasa University,undefined,85.5
301-400,Goethe University Frankfurt,undefined,70.6
301-400,Guglielmo Marconi University,undefined,87.5
301-400,Hampton University,undefined,96.2
301-400,Hiroshima Institute of Technology,undefined,93.8
301-400,Hunan University,undefined,70.8
301-400,Ilia State University,undefined,88.9
301-400,Indian Institute of Science Education & Research (IISER) - Kolkata,undefined,100.0
301-400,Indian Institute of Science Education & Research (IISER) - Pune,undefined,76.2
301-400,Indian Institute of Technology Hyderabad,undefined,100.0
301-400,Indian Institute of Technology Madras,undefined,71.5
301-400,Izmir Institute of Technology,undefined,80.3
301-400,Jagiellonian University,undefined,69.3
301-400,Kafkas University,undefined,88.2
301-400,Kansas State University,undefined,80.2
301-400,King Abdullah University of Science and Technology,undefined,82.3
301-400,KU Leuven,undefined,63.9
301-400,Kyoto University of Education,undefined,94.6
301-400,Kyungpook National University,undefined,64.5
301-400,Lappeenranta University of Technology,undefined,79.7
301-400,Liverpool John Moores University,undefined,98.0
301-400,Manhattan College,undefined,95.9
301-400,Mimar Sinan Guzel Sanatlar University,undefined,88.0
301-400,Montana State University - Bozeman,undefined,100.0
301-400,Ohio University,undefined,89.5
301-400,Okayama University,undefined,75.0
301-400,Parthenope University Naples,undefined,87.2
301-400,Peter the Great St. Petersburg Polytechnic University,undefined,68.3
301-400,Piri Reis University,undefined,88.3
301-400,Pusan National University,undefined,85.5
301-400,Quaid-i-Azam University,undefined,74.5
301-400,Rio de Janeiro State University,undefined,68.2
301-400,Rochester Institute of Technology,undefined,100.0
301-400,Simon Fraser University,undefined,80.3
301-400,Sofia University,undefined,74.2
301-400,Technical University Darmstadt,undefined,64.0
301-400,Texas A and M University at Qatar,undefined,81.9
301-400,The Hebrew University of Jerusalem,undefined,71.2
301-400,The University of New South Wales,undefined,69.9
301-400,The University of Texas at Arlington,undefined,80.5
301-400,TOBB Ekonomi ve Teknoloji University,undefined,91.6
301-400,Tokyo Metropolitan University,undefined,79.2
301-400,Universidad Antonio Narino,undefined,94.6
301-400,Universidad Tecnica Federico Santa Maria,undefined,78.2
301-400,Universidade Federal de Sao Joao del-Rei,undefined,88.9
301-400,Universite de Haute Alsace,undefined,86.2
301-400,Universite Mohammed Premier,undefined,94.5
301-400,University at Albany (State University of New York),undefined,86.9
301-400,University of Basel,undefined,76.5
301-400,University of Buenos Aires,undefined,71.5
301-400,University of Cagliari,undefined,74.0
301-400,University of Calabria,undefined,79.3
301-400,University of Camerino,undefined,100.0
301-400,University of Coimbra,undefined,80.8
301-400,University of Cyprus,undefined,81.6
301-400,University of Debrecen,undefined,78.3
301-400,University of Fribourg,undefined,83.4
301-400,University of Illinois at Chicago,undefined,74.6
301-400,University of Ioannina,undefined,76.4
301-400,University of Johannesburg,undefined,82.2
301-400,University of Los Andes (Colombia),undefined,81.8
301-400,University of Louisville,undefined,89.4
301-400,University of Mons,undefined,85.0
301-400,University of Montpellier,undefined,75.2
301-400,University of Muenster,undefined,75.7
301-400,University of Oklahoma - Norman,undefined,83.3
301-400,University of Parma,undefined,100.0
301-400,University of Puerto Rico Mayaguez,undefined,83.8
301-400,University of Rostock,undefined,68.6
301-400,University of Salento,undefined,82.7
301-400,University of South Carolina - Columbia,undefined,82.6
301-400,University of Szeged,undefined,100.0
301-400,University of Texas Rio Grande Valley,undefined,100.0
301-400,University of Tuebingen,undefined,74.2
301-400,University of Vienna,undefined,69.9
301-400,Utah Valley University,undefined,86.4
301-400,Warsaw University of Technology,undefined,69.2
301-400,Washington State University,undefined,100.0
301-400,West University of Timisoara,undefined,87.2
301-400,York University,undefined,83.8
401-500,Aristotle University of Thessaloniki,undefined,76.1
401-500,Arizona State University,undefined,67.6
401-500,Bahcesehir University,undefined,88.0
401-500,California State University-Sacramento,undefined,86.0
401-500,Case Western Reserve University,undefined,86.3
401-500,Chonnam National University,undefined,68.2
401-500,Chulalongkorn University,undefined,75.0
401-500,Creighton University,undefined,86.2
401-500,Eindhoven University of Technology,undefined,65.1
401-500,Erzincan University,undefined,89.0
401-500,Fayoum University,undefined,87.1
401-500,Federal University of Rio Grande do Norte,undefined,90.6
401-500,Federal University of Rio Grande do Sul,undefined,66.5
401-500,Free University Berlin,undefined,67.4
401-500,Hassan II University of Casablanca,undefined,82.5
401-500,Hiroshima University,undefined,69.4
401-500,IMT Atlantique,undefined,87.0
401-500,Indian Institute of Science,undefined,55.3
401-500,Indian Institute of Technology Bombay,undefined,70.5
401-500,Indian Institute of Technology Gandhinagar,undefined,100.0
401-500,International Islamic University Malaysia,undefined,79.3
401-500,Isfahan University of Technology,undefined,72.3
401-500,Islamic Azad University,undefined,62.9
401-500,Istanbul Technical University,undefined,69.4
401-500,Jilin University,undefined,60.1
401-500,Kobe University,undefined,73.6
401-500,Korea Advanced Institute of Science and Technology,undefined,60.7
401-500,Kyushu University,undefined,64.2
401-500,Lanzhou University,undefined,58.2
401-500,Marmara University,undefined,78.6
401-500,Mersin University,undefined,80.7
401-500,Middle East Technical University,undefined,70.7
401-500,Mohammed V University,undefined,74.7
401-500,National University of La Plata,undefined,69.9
401-500,New Mexico State University,undefined,82.7
401-500,North Carolina State University - Raleigh,undefined,69.3
401-500,NOVA University Lisbon,undefined,79.4
401-500,Ochanomizu University,undefined,87.8
401-500,Ozyegin University,undefined,85.1
401-500,Pohang University of Science and Technology,undefined,60.6
401-500,Polytechnic University of Milan,undefined,66.1
401-500,Queen's University Belfast,undefined,70.5
401-500,Riga Technical University,undefined,79.6
401-500,Rockefeller University,undefined,89.0
401-500,Sejong University,undefined,72.0
401-500,Shanxi University,undefined,56.1
401-500,Shenzhen University,undefined,74.9
401-500,Shinshu University,undefined,78.3
401-500,Southeast University,undefined,60.4
401-500,Southern University of Science and Technology,undefined,73.4
401-500,Technical University of Berlin,undefined,64.0
401-500,Temple University,undefined,73.8
401-500,The Catholic University of America,undefined,69.3
401-500,The City College of New York,undefined,87.7
401-500,The George Washington University,undefined,81.1
401-500,The Graduate University for Advanced Studies,undefined,66.8
401-500,The University of Queensland,undefined,73.9
401-500,Tomsk State University,undefined,63.2
401-500,Transilvania University of Brasov,undefined,85.7
401-500,Ulsan National Institute of Science and Technology,undefined,80.0
401-500,Universidad Autonoma de San Luis Potosi,undefined,73.1
401-500,Universidade Federal de Juiz de Fora,undefined,84.3
401-500,Universidade Federal do Triangulo Mineiro,undefined,79.2
401-500,Universitat Ramon Llull,undefined,79.8
401-500,University of Alabama in Huntsville,undefined,91.7
401-500,University of Bath,undefined,74.2
401-500,University of Bialystok,undefined,100.0
401-500,University of Chile,undefined,71.6
401-500,University of Delaware,undefined,72.4
401-500,University of Delhi,undefined,63.3
401-500,University of Houston,undefined,71.2
401-500,University of Jena,undefined,67.9
401-500,University of Jyvaskyla,undefined,69.0
