101-150	University of Milano-Bicocca	undefined	0.0
101-150	University of Mississippi	undefined	0.0
101-150	University of Pittsburgh	undefined	0.0
101-150	University of Rochester	undefined	0.0
101-150	University of Sao Paulo	undefined	0.0
101-150	University of Savoy	undefined	0.0
101-150	University of Sussex	undefined	0.0
101-150	University of Sydney	undefined	0.0
101-150	University of Tennessee - Knoxville	undefined	0.0
101-150	Utrecht University	undefined	42.0
101-150	Vrije Universiteit Amsterdam	undefined	0.0
151-200	Beihang University	undefined	0.0
151-200	Bogazici University	undefined	0.0
151-200	Cardiff University	undefined	0.0
151-200	Durham University	undefined	0.0
151-200	Federal University of Rio de Janeiro	undefined	0.0
151-200	Florida State University	undefined	0.0
151-200	Fudan University	undefined	0.0
151-200	Gran Sasso Science Institute	undefined	0.0
151-200	Humboldt University of Berlin	undefined	0.0
151-200	International School for Advanced Studies	undefined	0.0
151-200	Iowa State University	undefined	0.0
151-200	Ivane Javakhishvili Tbilisi State University	undefined	0.0
151-200	Leibniz University Hannover	undefined	0.0
151-200	Louisiana State University - Baton Rouge	undefined	0.0
151-200	McGill University	undefined	0.0
151-200	Moscow Institute of Physics and Technology	undefined	0.0
151-200	National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)	undefined	0.0
151-200	National Taiwan University	undefined	0.0
151-200	National Tsing Hua University	undefined	0.0
151-200	New York University	undefined	0.0
151-200	Osaka University	undefined	0.0
151-200	Polytechnic University of Catalonia	undefined	0.0
151-200	Queen's University	undefined	59.4
151-200	Shandong University	undefined	0.0
151-200	Sun Yat-sen University	undefined	0.0
151-200	Technical University of Dortmund	undefined	0.0
151-200	Texas Tech University	undefined	0.0
151-200	The Hong Kong University of Science and Technology	undefined	0.0
151-200	Tohoku University	undefined	0.0
151-200	University of Bari	undefined	0.0
151-200	University of Basilicata	undefined	0.0
151-200	University of Cantabria	undefined	0.0
151-200	University of Ferrara	undefined	0.0
151-200	University of Goettingen	undefined	0.0
151-200	University of Helsinki	undefined	0.0
151-200	University of Iowa	undefined	0.0
151-200	University of Lisbon	undefined	0.0
151-200	University of Ljubljana	undefined	0.0
151-200	University of Notre Dame	undefined	0.0
151-200	University of Oregon	undefined	0.0
151-200	University of Oslo	undefined	0.0
151-200	University of Pavia	undefined	0.0
151-200	University of Siena	undefined	0.0
151-200	University of Strasbourg	undefined	0.0
151-200	University of Trieste	undefined	0.0
151-200	University of Urbino	undefined	0.0
151-200	University of Virginia	undefined	0.0
151-200	University of Wuerzburg	undefined	0.0
151-200	Vienna University of Technology	undefined	0.0
151-200	Wayne State University	undefined	0.0
151-200	Zhejiang University	undefined	0.0
201-300	Aalto University	undefined	0.0
201-300	Aarhus University	undefined	0.0
201-300	AGH University of Science and Technology	undefined	0.0
201-300	Belarusian State University	undefined	0.0
201-300	Brandeis University	undefined	0.0
201-300	Carleton University	undefined	0.0
201-300	Catholic University of Louvain	undefined	0.0
201-300	Central China Normal University	undefined	0.0
201-300	College of William and Mary	undefined	0.0
201-300	Czech Technical University in Prague	undefined	0.0
201-300	Georgian Technical University	undefined	0.0
201-300	Ghent University	undefined	0.0
201-300	Hanyang University	undefined	0.0
201-300	Huazhong University of Science and Technology	undefined	0.0
201-300	Istanbul Aydin University	undefined	0.0
201-300	Istanbul Bilgi University	undefined	0.0
201-300	King Abdulaziz University	undefined	0.0
201-300	Korea University	undefined	0.0
201-300	Lancaster University	undefined	0.0
201-300	Louisiana Technical University	undefined	0.0
201-300	McMaster University	undefined	42.0
